Date,Queries
2010-04-01,33209
2010-04-02,35873
2010-04-03,34230
2010-04-04,32866
2010-04-05,39418
2010-04-06,40853
2010-04-07,42250
2010-04-08,40541
2010-04-09,35836
2010-04-10,30040
2010-04-11,32411
2010-04-12,41391
2010-04-13,41777
2010-04-14,40616
2010-04-15,36385
2010-04-16,37730
2010-04-17,31852
2010-04-18,33807
2010-04-19,42112
2010-04-20,41349
2010-04-21,41312
2010-04-22,41124
2010-04-23,36950
2010-04-24,33136
2010-04-25,36139
2010-04-26,43575
2010-04-27,43414
2010-04-28,38621
2010-04-29,89364
2010-04-30,34023
2011-04-01,179602
2011-04-02,148322
2011-04-03,161266
2011-04-04,193496
2011-04-05,229219
2011-04-06,232280
2011-04-07,211974
2011-04-08,206289
2011-04-09,167832
2011-04-10,179957
2011-04-11,219751
2011-04-12,220231
2011-04-13,222467
2011-04-14,211116
2011-04-15,195794
2011-04-16,166168
2011-04-17,167511
2011-04-18,223231
2011-04-19,222919
2011-04-20,214906
2011-04-21,227721
2011-04-22,188914
2011-04-23,160150
2011-04-24,181890
2011-04-25,199827
2011-04-26,209128
2011-04-27,213517
2011-04-28,210461
2011-04-29,198821
2011-04-30,166071
2012-04-01,1346350
2012-04-02,1610514
2012-04-03,1573228
2012-04-04,1497517
2012-04-05,1445603
2012-04-06,1344411
2012-04-07,1192229
2012-04-08,1230251
2012-04-09,1501418
2012-04-10,1565293
2012-04-11,1559589
2012-04-12,1512404
2012-04-13,1426736
2012-04-14,1269110
2012-04-15,1345155
2012-04-16,1540751
2012-04-17,1549870
2012-04-18,1516011
2012-04-19,1481884
2012-04-20,1418905
2012-04-21,1248814
2012-04-22,1349916
2012-04-23,1557640
2012-04-24,1528205
2012-04-25,1504110
2012-04-26,1483588
2012-04-27,1404544
2012-04-28,1217156
2012-04-29,1278943
2012-04-30,1460347
2013-04-01,1680598
2013-04-02,1739435
2013-04-03,1777282
2013-04-04,1765005
2013-04-05,1664726
2013-04-06,1510149
2013-04-07,1594641
2013-04-08,1791239
2013-04-09,1777586
2013-04-10,1765239
2013-04-11,1758623
2013-04-12,1702242
2013-04-13,1553789
2013-04-14,1621487
2013-04-15,1816430
2013-04-16,1795522
2013-04-17,1765103
2013-04-18,1746748
2013-04-19,1676414
2013-04-20,1506074
2013-04-21,1600616
2013-04-22,1838264
2013-04-23,1825013
2013-04-24,1776927
2013-04-25,1758041
2013-04-26,1699100
2013-04-27,1532313
2013-04-28,1632818
2013-04-29,1869217
2013-04-30,1799060
2014-04-01,5074567
2014-04-02,5084956
2014-04-03,4945936
2014-04-04,4959913
2014-04-05,4631773
2014-04-06,4807003
2014-04-07,5365303
2014-04-08,5248427
2014-04-09,5092234
2014-04-10,5046561
2014-04-11,4821425
2014-04-12,4432520
2014-04-13,4643150
2014-04-14,5230853
2014-04-15,5155251
2014-04-16,4970170
2014-04-17,4799865
2014-04-18,4660613
2014-04-19,4231109
2014-04-20,4372786
2014-04-21,5139577
2014-04-22,5354523
2014-04-23,5354931
2014-04-24,5138057
2014-04-25,4904491
2014-04-26,4601910
2014-04-27,4964478
2014-04-28,5545972
2014-04-29,5403917
2014-04-30,5269834
2015-04-01,7969831
2015-04-02,7741933
2015-04-03,7495027
2015-04-04,6949549
2015-04-05,6878464
2015-04-06,7970160
2015-04-07,8205521
2015-04-08,8135610
2015-04-09,8012605
2015-04-10,7573154
2015-04-11,7041228
2015-04-12,7352852
2015-04-13,8320374
2015-04-14,8219319
2015-04-15,8075315
2015-04-16,8088114
2015-04-17,7857164
2015-04-18,7029323
2015-04-19,7571630
2015-04-20,8486983
2015-04-21,8343506
2015-04-22,8430070
2015-04-23,8287028
2015-04-24,7947411
2015-04-25,7485698
2015-04-26,7870957
2015-04-27,8760533
2015-04-28,8583011
2015-04-29,8497561
2015-04-30,8563442
2016-04-01,10546547
2016-04-02,9688240
2016-04-03,10113838
2016-04-04,11373482
2016-04-05,11170549
2016-04-06,11217833
2016-04-07,10994902
2016-04-08,10612672
2016-04-09,9880694
2016-04-10,10357709
2016-04-11,11541452
2016-04-12,11165949
2016-04-13,11060486
2016-04-14,11018970
2016-04-15,10712942
2016-04-16,9668773
2016-04-17,10255075
2016-04-18,11647161
2016-04-19,11164456
2016-04-20,10928869
2016-04-21,10921372
2016-04-22,10532928
2016-04-23,9774171
2016-04-24,10326039
2016-04-25,11484155
2016-04-26,11388083
2016-04-27,11105169
2016-04-28,10929764
2016-04-29,10489782
2016-04-30,9573039
2010-08-01,48954
2010-08-02,48764
2010-08-03,55152
2010-08-04,55469
2010-08-05,56400
2010-08-06,50550
2010-08-07,39833
2010-08-08,41680
2010-08-09,55051
2010-08-10,59554
2010-08-11,64289
2010-08-12,66265
2010-08-13,61163
2010-08-14,51638
2010-08-15,54563
2010-08-16,66928
2010-08-17,70054
2010-08-18,66888
2010-08-19,65726
2010-08-20,59849
2010-08-21,47520
2010-08-22,52485
2010-08-23,65734
2010-08-24,67302
2010-08-25,64510
2010-08-26,64736
2010-08-27,64951
2010-08-28,50624
2010-08-29,56618
2010-08-30,69406
2010-08-31,67730
2011-08-01,285947
2011-08-02,289253
2011-08-03,294313
2011-08-04,286391
2011-08-05,265015
2011-08-06,227534
2011-08-07,239992
2011-08-08,295794
2011-08-09,286191
2011-08-10,278379
2011-08-11,276073
2011-08-12,262772
2011-08-13,228662
2011-08-14,235143
2011-08-15,294585
2011-08-16,321072
2011-08-17,331237
2011-08-18,316392
2011-08-19,292953
2011-08-20,245946
2011-08-21,258489
2011-08-22,332992
2011-08-23,341882
2011-08-24,322554
2011-08-25,313957
2011-08-26,292732
2011-08-27,249401
2011-08-28,262268
2011-08-29,321109
2011-08-30,314293
2011-08-31,342538
2012-08-01,1403146
2012-08-02,1390773
2012-08-03,1355240
2012-08-04,1149535
2012-08-05,1227403
2012-08-06,1449355
2012-08-07,1421558
2012-08-08,1414499
2012-08-09,1397429
2012-08-10,1365921
2012-08-11,1204399
2012-08-12,1274092
2012-08-13,1543497
2012-08-14,1561744
2012-08-15,1579241
2012-08-16,1568141
2012-08-17,1392077
2012-08-18,1209881
2012-08-19,1254707
2012-08-20,1486954
2012-08-21,1463760
2012-08-22,1464995
2012-08-23,1445203
2012-08-24,1379823
2012-08-25,1247678
2012-08-26,1295703
2012-08-27,1501705
2012-08-28,1502765
2012-08-29,1477636
2012-08-30,1424173
2012-08-31,1349933
2013-08-01,3692821
2013-08-02,3610871
2013-08-03,3268313
2013-08-04,3341078
2013-08-05,3914814
2013-08-06,3782836
2013-08-07,3670850
2013-08-08,3606463
2013-08-09,3511677
2013-08-10,3068788
2013-08-11,3245176
2013-08-12,3771041
2013-08-13,3776932
2013-08-14,3812714
2013-08-15,3628477
2013-08-16,3551482
2013-08-17,3268733
2013-08-18,3497072
2013-08-19,4153854
2013-08-20,4107128
2013-08-21,4053573
2013-08-22,4008628
2013-08-23,3842184
2013-08-24,3483551
2013-08-25,3639599
2013-08-26,4212212
2013-08-27,4186539
2013-08-28,4065184
2013-08-29,4034862
2013-08-30,4040059
2013-08-31,3524642
2014-08-01,4710642
2014-08-02,4221941
2014-08-03,4454113
2014-08-04,5133813
2014-08-05,5072900
2014-08-06,4939353
2014-08-07,4902467
2014-08-08,4747149
2014-08-09,4197088
2014-08-10,4393034
2014-08-11,5317086
2014-08-12,5264182
2014-08-13,5091177
2014-08-14,4928655
2014-08-15,4771394
2014-08-16,4311189
2014-08-17,4524538
2014-08-18,5185054
2014-08-19,5067297
2014-08-20,5091694
2014-08-21,5048746
2014-08-22,4882687
2014-08-23,4442906
2014-08-24,4666229
2014-08-25,5405879
2014-08-26,5274079
2014-08-27,5110195
2014-08-28,5065036
2014-08-29,4900954
2014-08-30,4372126
2014-08-31,4619547
2015-08-01,7938553
2015-08-02,7967429
2015-08-03,9140634
2015-08-04,9148151
2015-08-05,8922387
2015-08-06,8874946
2015-08-07,8484600
2015-08-08,7700086
2015-08-09,8123158
2015-08-10,9287262
2015-08-11,9181401
2015-08-12,8990952
2015-08-13,8953617
2015-08-14,8685376
2015-08-15,7929680
2015-08-16,8410875
2015-08-17,9483835
2015-08-18,9353467
2015-08-19,9223382
2015-08-20,9022339
2015-08-21,8656783
2015-08-22,7857431
2015-08-23,8439658
2015-08-24,9681339
2015-08-25,9510431
2015-08-26,9333534
2015-08-27,9283612
2015-08-28,8871422
2015-08-29,8044372
2015-08-30,7275509
2015-08-31,9686543
2010-12-01,85045
2010-12-02,84160
2010-12-03,97764
2010-12-04,70144
2010-12-05,82012
2010-12-06,95199
2010-12-07,90805
2010-12-08,90885
2010-12-09,85695
2010-12-10,78885
2010-12-11,69088
2010-12-12,71687
2010-12-13,95529
2010-12-14,89668
2010-12-15,87187
2010-12-16,85385
2010-12-17,77534
2010-12-18,77531
2010-12-19,88648
2010-12-20,93617
2010-12-21,84585
2010-12-22,83248
2010-12-23,73962
2010-12-24,55711
2010-12-25,49590
2010-12-26,61232
2010-12-27,73472
2010-12-28,77632
2010-12-29,79521
2010-12-30,76789
2010-12-31,62804
2011-12-01,496149
2011-12-02,491407
2011-12-03,415284
2011-12-04,439741
2011-12-05,524354
2011-12-06,516747
2011-12-07,500500
2011-12-08,499125
2011-12-09,470538
2011-12-10,414462
2011-12-11,461690
2011-12-12,529920
2011-12-13,527416
2011-12-14,503276
2011-12-15,488675
2011-12-16,459861
2011-12-17,400005
2011-12-18,410479
2011-12-19,493884
2011-12-20,482088
2011-12-21,466290
2011-12-22,451118
2011-12-23,400899
2011-12-24,325917
2011-12-25,326594
2011-12-26,420011
2011-12-27,478331
2011-12-28,472261
2011-12-29,460814
2011-12-30,443998
2011-12-31,358449
2012-12-01,1472374
2012-12-02,1531886
2012-12-03,1744934
2012-12-04,1714678
2012-12-05,1740399
2012-12-06,1682495
2012-12-07,1589581
2012-12-08,1465353
2012-12-09,1530790
2012-12-10,1733412
2012-12-11,1711266
2012-12-12,1682586
2012-12-13,1628716
2012-12-14,1538084
2012-12-15,1498034
2012-12-16,1514448
2012-12-17,1732037
2012-12-18,1658506
2012-12-19,1644374
2012-12-20,1602234
2012-12-21,1499716
2012-12-22,1383033
2012-12-23,1403891
2012-12-24,1304329
2012-12-25,1196705
2012-12-26,1481780
2012-12-27,1402075
2012-12-28,1586456
2012-12-29,1562997
2012-12-30,1447481
2012-12-31,1365293
2013-12-01,3837580
