 1 Centrale kraftværker DK1
 2 Centrale kraftværker DK2
 3 Decentrale kraftværker DK1
 4 Decentrale kraftværker DK2
 5 Vindmøller DK1
 6 Vindmøller DK2
 7 Udveksling Jylland-Norge
 8 Udveksling Jylland-Sverige
 9 Udveksling Jylland-Tyskland
10 Udveksling Sjælland-Sverige
11 Udveksling Sjælland-Tyskland
12 Udveksling Bornholm-Sverige
13 Udveksling Fyn-Sjaelland
14 Temperatur i Malling
15 Vindhastighed i Malling
16 CO2 udledning
17 Havmøller DK
18 Landmøller DK
19 Solceller DK1
20 Solceller DK2
 
Dato og tid      ;      1 ;      2 ;      3 ;      4 ;      5 ;      6 ;      7 ;      8 ;      9 ;     10 ;     11 ;     12 ;     13 ;     14 ;     15 ;     16 ;     17 ;     18 ;     19 ;     20 ;
2016-06-09 00:00 ;    508 ;     16 ;    120 ;    100 ;    405 ;    106 ;   1411 ;   -261 ;    251 ;   -101 ;    441 ;      8 ;   -566 ;     11 ;      4 ;    241 ;    313 ;    198 ;      0 ;      0 ;
2016-06-09 00:05 ;    472 ;     16 ;    121 ;     99 ;    389 ;    105 ;   1417 ;   -102 ;     68 ;    -34 ;    381 ;      9 ;   -558 ;     11 ;      5 ;    211 ;    301 ;    194 ;      0 ;      0 ;
2016-06-09 00:10 ;    428 ;     17 ;    120 ;     99 ;    378 ;    115 ;   1405 ;    -86 ;    101 ;    -29 ;    378 ;      6 ;   -550 ;     11 ;      4 ;    206 ;    300 ;    193 ;      0 ;      0 ;
2016-06-09 00:15 ;    405 ;     16 ;    121 ;    100 ;    361 ;    114 ;   1392 ;    -43 ;     88 ;    -11 ;    378 ;      8 ;   -542 ;     11 ;      3 ;    201 ;    288 ;    187 ;      0 ;      0 ;
2016-06-09 00:20 ;    413 ;     16 ;    121 ;    100 ;    343 ;    111 ;   1390 ;    -43 ;     96 ;    -19 ;    378 ;      8 ;   -542 ;     11 ;      5 ;    205 ;    274 ;    179 ;      0 ;      0 ;
2016-06-09 00:25 ;    413 ;     19 ;    121 ;     98 ;    330 ;    113 ;   1391 ;    -43 ;     99 ;    -33 ;    378 ;      8 ;   -541 ;     11 ;      4 ;    207 ;    265 ;    177 ;      0 ;      0 ;
2016-06-09 00:30 ;    414 ;     17 ;    121 ;     99 ;    314 ;    145 ;   1393 ;     -1 ;     76 ;    -71 ;    378 ;      9 ;   -541 ;     11 ;      4 ;    203 ;    284 ;    175 ;      0 ;      0 ;
2016-06-09 00:35 ;    416 ;     18 ;    120 ;     98 ;    313 ;    166 ;   1392 ;     -1 ;     63 ;    -78 ;    378 ;      9 ;   -541 ;     11 ;      3 ;    201 ;    308 ;    172 ;      0 ;      0 ;
2016-06-09 00:40 ;    420 ;     17 ;    119 ;     99 ;    313 ;    184 ;   1393 ;     -1 ;     53 ;   -122 ;    378 ;      9 ;   -542 ;     11 ;      4 ;    201 ;    329 ;    168 ;      0 ;      0 ;
2016-06-09 00:45 ;    418 ;     20 ;    119 ;     98 ;    307 ;    188 ;   1392 ;     -1 ;     50 ;   -122 ;    378 ;      9 ;   -541 ;     11 ;      4 ;    201 ;    333 ;    162 ;      0 ;      0 ;
2016-06-09 00:50 ;    424 ;     17 ;    119 ;     98 ;    288 ;    197 ;   1319 ;     -1 ;    121 ;   -138 ;    378 ;      9 ;   -548 ;     11 ;      4 ;    214 ;    328 ;    157 ;      0 ;      0 ;
2016-06-09 00:55 ;    422 ;     16 ;    118 ;     99 ;    284 ;    194 ;   1244 ;     -1 ;    222 ;   -151 ;    378 ;      9 ;   -557 ;     10 ;      4 ;    229 ;    334 ;    144 ;      0 ;      0 ;
2016-06-09 01:00 ;    422 ;     16 ;    119 ;     99 ;    278 ;    195 ;   1103 ;   -127 ;    474 ;   -269 ;    479 ;      9 ;   -567 ;     11 ;      4 ;    272 ;    336 ;    137 ;      0 ;      0 ;
2016-06-09 01:05 ;    426 ;     14 ;    122 ;     98 ;    263 ;    200 ;    948 ;   -133 ;    685 ;   -403 ;    595 ;     10 ;   -571 ;     11 ;      4 ;    306 ;    328 ;    136 ;      0 ;      0 ;
2016-06-09 01:10 ;    425 ;     14 ;    122 ;     98 ;    253 ;    188 ;    866 ;   -133 ;    807 ;   -411 ;    600 ;     10 ;   -580 ;     11 ;      4 ;    321 ;    310 ;    130 ;      0 ;      0 ;
2016-06-09 01:15 ;    425 ;      0 ;    121 ;     98 ;    239 ;    182 ;    796 ;   -134 ;    893 ;   -430 ;    600 ;     11 ;   -590 ;     10 ;      5 ;    333 ;    292 ;    130 ;      0 ;      0 ;
2016-06-09 01:20 ;    427 ;     16 ;    118 ;     98 ;    231 ;    170 ;    793 ;   -133 ;    888 ;   -411 ;    600 ;     12 ;   -590 ;     10 ;      4 ;    337 ;    272 ;    129 ;      0 ;      0 ;
2016-06-09 01:25 ;    430 ;     14 ;    118 ;     99 ;    215 ;    161 ;    792 ;   -133 ;    893 ;   -397 ;    600 ;     13 ;   -591 ;     10 ;      4 ;    340 ;    251 ;    125 ;      0 ;      0 ;
2016-06-09 01:30 ;    428 ;     15 ;    120 ;     98 ;    204 ;    155 ;    792 ;    -98 ;    865 ;   -400 ;    600 ;     13 ;   -590 ;     10 ;      4 ;    341 ;    239 ;    120 ;      0 ;      0 ;
2016-06-09 01:35 ;    429 ;     15 ;    119 ;     97 ;    208 ;    146 ;    795 ;    -63 ;    870 ;   -397 ;    600 ;     14 ;   -590 ;     10 ;      4 ;    341 ;    237 ;    117 ;      0 ;      0 ;
2016-06-09 01:40 ;    427 ;     16 ;    118 ;     96 ;    213 ;    139 ;    792 ;    -63 ;    865 ;   -394 ;    600 ;     14 ;   -590 ;     10 ;      4 ;    342 ;    236 ;    117 ;      0 ;      0 ;
2016-06-09 01:45 ;    425 ;     17 ;    118 ;     98 ;    204 ;    127 ;    792 ;    -63 ;    900 ;   -389 ;    600 ;     14 ;   -591 ;     10 ;      4 ;    345 ;    218 ;    113 ;      0 ;      0 ;
2016-06-09 01:50 ;    420 ;     17 ;    118 ;     98 ;    200 ;    124 ;    721 ;    -13 ;    902 ;   -364 ;    600 ;     14 ;   -572 ;     10 ;      4 ;    353 ;    214 ;    110 ;      0 ;      0 ;
2016-06-09 01:55 ;    404 ;     15 ;    118 ;     98 ;    188 ;    124 ;    644 ;     46 ;    922 ;   -349 ;    600 ;     14 ;   -551 ;     10 ;      4 ;    361 ;    208 ;    103 ;      0 ;      0 ;
2016-06-09 02:00 ;    378 ;     15 ;    118 ;     98 ;    179 ;    121 ;    497 ;     95 ;   1039 ;   -325 ;    600 ;     14 ;   -531 ;     10 ;      4 ;    382 ;    201 ;     99 ;      0 ;      0 ;
2016-06-09 02:05 ;    348 ;     18 ;    119 ;     98 ;    178 ;    116 ;    343 ;    152 ;   1112 ;   -310 ;    600 ;     14 ;   -509 ;     10 ;      5 ;    402 ;    197 ;     96 ;      0 ;      0 ;
2016-06-09 02:10 ;    325 ;     16 ;    117 ;     98 ;    172 ;    113 ;    271 ;    201 ;   1161 ;   -289 ;    600 ;     14 ;   -491 ;     10 ;      4 ;    413 ;    195 ;     90 ;      0 ;      0 ;
2016-06-09 02:15 ;    317 ;     17 ;    117 ;    100 ;    170 ;    111 ;    193 ;    260 ;   1184 ;   -271 ;    600 ;     13 ;   -468 ;      9 ;      4 ;    425 ;    197 ;     84 ;      0 ;      0 ;
2016-06-09 02:20 ;    301 ;     16 ;    118 ;    100 ;    166 ;     98 ;    192 ;    260 ;   1183 ;   -256 ;    600 ;     13 ;   -469 ;     10 ;      4 ;    424 ;    184 ;     80 ;      0 ;      0 ;
2016-06-09 02:25 ;    289 ;     18 ;    117 ;     98 ;    159 ;    102 ;    192 ;    260 ;   1208 ;   -261 ;    600 ;     14 ;   -468 ;     10 ;      4 ;    425 ;    182 ;     79 ;      0 ;      0 ;
2016-06-09 02:30 ;    271 ;     18 ;    119 ;     97 ;    153 ;    100 ;    192 ;    261 ;   1214 ;   -247 ;    600 ;     14 ;   -468 ;     10 ;      4 ;    422 ;    175 ;     78 ;      0 ;      0 ;
2016-06-09 02:35 ;    263 ;     17 ;    117 ;     97 ;    147 ;    102 ;    191 ;    260 ;   1217 ;   -254 ;    600 ;     14 ;   -468 ;     10 ;      4 ;    424 ;    175 ;     74 ;      0 ;      0 ;
