rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
05-May-2016 09:23,201603,HEATHROW, 75382273 , 255339341 , 73693612 , 241853321 
05-May-2016 09:23,201603,GATWICK, 40790754 , 255339341 , 38633115 , 241853321 
05-May-2016 09:23,201603,MANCHESTER, 23513057 , 255339341 , 22300925 , 241853321 
05-May-2016 09:23,201603,STANSTED, 23137198 , 255339341 , 20900098 , 241853321 
05-May-2016 09:23,201603,LUTON, 12821685 , 255339341 , 10767142 , 241853321 
05-May-2016 09:23,201603,EDINBURGH, 11437486 , 255339341 , 10304077 , 241853321 
05-May-2016 09:23,201603,BIRMINGHAM, 10432180 , 255339341 , 9889147 , 241853321 
05-May-2016 09:23,201603,GLASGOW, 8899302 , 255339341 , 7895266 , 241853321 
05-May-2016 09:23,201603,BRISTOL, 6949057 , 255339341 , 6385479 , 241853321 
05-May-2016 09:23,201603,NEWCASTLE, 4564217 , 255339341 , 4538486 , 241853321 
05-May-2016 09:23,201603,BELFAST INTERNATIONAL, 4530910 , 255339341 , 4035219 , 241853321 
05-May-2016 09:23,201603,EAST MIDLANDS INTERNATIONAL, 4480142 , 255339341 , 4586929 , 241853321 
05-May-2016 09:23,201603,LIVERPOOL (JOHN LENNON), 4463809 , 255339341 , 4013532 , 241853321 
05-May-2016 09:23,201603,LONDON CITY, 4331346 , 255339341 , 3884111 , 241853321 
05-May-2016 09:23,201603,LEEDS BRADFORD, 3478932 , 255339341 , 3327647 , 241853321 
05-May-2016 09:23,201603,ABERDEEN, 3341188 , 255339341 , 3718952 , 241853321 
05-May-2016 09:23,201603,BELFAST CITY (GEORGE BEST), 2687110 , 255339341 , 2591891 , 241853321 
05-May-2016 09:23,201603,SOUTHAMPTON, 1766346 , 255339341 , 1884641 , 241853321 
05-May-2016 09:23,201603,CARDIFF WALES, 1223570 , 255339341 , 1004803 , 241853321 
05-May-2016 09:23,201603,DONCASTER SHEFFIELD, 910640 , 255339341 , 754859 , 241853321 
05-May-2016 09:23,201603,SOUTHEND, 893927 , 255339341 , 1077870 , 241853321 
05-May-2016 09:23,201603,EXETER, 817670 , 255339341 , 794813 , 241853321 
05-May-2016 09:23,201603,BOURNEMOUTH, 731049 , 255339341 , 655793 , 241853321 
05-May-2016 09:23,201603,INVERNESS, 659292 , 255339341 , 642237 , 241853321 
05-May-2016 09:23,201603,PRESTWICK, 623358 , 255339341 , 830618 , 241853321 
05-May-2016 09:23,201603,NORWICH, 465902 , 255339341 , 458657 , 241853321 
05-May-2016 09:23,201603,CITY OF DERRY (EGLINTON), 287887 , 255339341 , 345555 , 241853321 
05-May-2016 09:23,201603,SUMBURGH, 263236 , 255339341 , 256244 , 241853321 
05-May-2016 09:23,201603,NEWQUAY, 254704 , 255339341 , 217978 , 241853321 
05-May-2016 09:23,201603,SCATSTA, 226439 , 255339341 , 284087 , 241853321 
05-May-2016 09:23,201603,HUMBERSIDE, 216699 , 255339341 , 235997 , 241853321 
05-May-2016 09:23,201603,KIRKWALL, 149752 , 255339341 , 150205 , 241853321 
05-May-2016 09:23,201603,DURHAM TEES VALLEY, 141085 , 255339341 , 140759 , 241853321 
05-May-2016 09:23,201603,STORNOWAY, 123355 , 255339341 , 127685 , 241853321 
05-May-2016 09:23,201603,ISLES OF SCILLY (ST.MARYS), 95023 , 255339341 , 92997 , 241853321 
05-May-2016 09:23,201603,LANDS END (ST JUST), 54586 , 255339341 , 51790 , 241853321 
05-May-2016 09:23,201603,BLACKPOOL, 35183 , 255339341 , 201272 , 241853321 
05-May-2016 09:23,201603,BENBECULA, 32135 , 255339341 , 31493 , 241853321 
05-May-2016 09:23,201603,ISLAY, 28397 , 255339341 , 27758 , 241853321 
05-May-2016 09:23,201603,DUNDEE, 22645 , 255339341 , 21484 , 241853321 
05-May-2016 09:23,201603,WICK JOHN O GROATS, 22365 , 255339341 , 28960 , 241853321 
05-May-2016 09:23,201603,GLOUCESTERSHIRE, 11622 , 255339341 , 15031 , 241853321 
05-May-2016 09:23,201603,BARRA, 11489 , 255339341 , 10494 , 241853321 
05-May-2016 09:23,201603,TIREE, 9956 , 255339341 , 8977 , 241853321 
05-May-2016 09:23,201603,CAMPBELTOWN, 8307 , 255339341 , 8985 , 241853321 
05-May-2016 09:23,201603,CAMBRIDGE, 5712 , 255339341 , 17238 , 241853321 
05-May-2016 09:23,201603,LERWICK (TINGWALL), 4340 , 255339341 , 3357 , 241853321 
05-May-2016 09:23,201603,LYDD, 1203 , 255339341 , 1232 , 241853321 
05-May-2016 09:23,201603,SHOREHAM, 526 , 255339341 , 485 , 241853321 
05-May-2016 09:23,201603,BIGGIN HILL, 238 , 255339341 , 759 , 241853321 
05-May-2016 09:23,201603,OXFORD (KIDLINGTON), 57 , 255339341 , 1308 , 241853321 
05-May-2016 09:23,201603,COVENTRY, 0 , 255339341 , 0 , 241853321 
05-May-2016 09:23,201603,MANSTON (KENT INT), 0 , 255339341 , 1272 , 241853321 
