rundate,reporting_period,span,annus,total_movements,air_transport_movements,terminal_pax,cargo_tonnes
05-May-2016 09:24,201603,1981 - 2015         ,1981                , 2103000 , 927000 , 57771000 , 725000 
05-May-2016 09:24,201603,1981 - 2015         ,1982                , 2113000 , 973000 , 58778000 , 690000 
05-May-2016 09:24,201603,1981 - 2015         ,1983                , 2238000 , 1019000 , 61109000 , 726000 
05-May-2016 09:24,201603,1981 - 2015         ,1984                , 2363000 , 1079000 , 67572000 , 861000 
05-May-2016 09:24,201603,1981 - 2015         ,1985                , 2354000 , 1097000 , 70434000 , 850000 
05-May-2016 09:24,201603,1981 - 2015         ,1986                , 2381176 , 1101547 , 74719153 , 878112.3022 
05-May-2016 09:24,201603,1981 - 2015         ,1987                , 2560198 , 1168323 , 85514451 , 972594.2008 
05-May-2016 09:24,201603,1981 - 2015         ,1988                , 2839500 , 1254830 , 92586414 , 1083372.8018 
05-May-2016 09:24,201603,1981 - 2015         ,1989                , 3093912 , 1349866 , 97955723 , 1144689.9525 
05-May-2016 09:24,201603,1981 - 2015         ,1990                , 3165742 , 1397905 , 101768035 , 1188544.986 
05-May-2016 09:24,201603,1981 - 2015         ,1991                , 2835016 , 1348181 , 95210905 , 1122037.061 
05-May-2016 09:24,201603,1981 - 2015         ,1992                , 2768823 , 1427418 , 105582271 , 1234761.276 
05-May-2016 09:24,201603,1981 - 2015         ,1993                , 2783301 , 1459812 , 111639591 , 1372273.683 
05-May-2016 09:24,201603,1981 - 2015         ,1994                , 2894524 , 1525990 , 121572639 , 1584559.958 
05-May-2016 09:24,201603,1981 - 2015         ,1995                , 3041713 , 1589138 , 128784077 , 1699320.708 
05-May-2016 09:24,201603,1981 - 2015         ,1996                , 3045940 , 1663404 , 135207891 , 1767387.414 
05-May-2016 09:24,201603,1981 - 2015         ,1997                , 3181458 , 1740251 , 145986866 , 1938436.307 
05-May-2016 09:24,201603,1981 - 2015         ,1998                , 3324787 , 1841463 , 158115525 , 2076225.048 
05-May-2016 09:24,201603,1981 - 2015         ,1999                , 3334998 , 1931710 , 167618951 , 2186235.54 
05-May-2016 09:24,201603,1981 - 2015         ,2000                , 3344188 , 2015577 , 179125472 , 2311279.382 
05-May-2016 09:24,201603,1981 - 2015         ,2001                , 3407449 , 2068872 , 180500663 , 2143280.822 
05-May-2016 09:24,201603,1981 - 2015         ,2002                , 3268537 , 2067075 , 188031241 , 2193254.995 
05-May-2016 09:24,201603,1981 - 2015         ,2003                , 3415890 , 2128020 , 199211305 , 2205934.124 
05-May-2016 09:24,201603,1981 - 2015         ,2004                , 3479207 , 2242718 , 214925951 , 2368601.497 
05-May-2016 09:24,201603,1981 - 2015         ,2005                , 3606651 , 2370823 , 227413252 , 2360984.239 
05-May-2016 09:24,201603,1981 - 2015         ,2006                , 3589512 , 2417135 , 234416085 , 2314547.374 
05-May-2016 09:24,201603,1981 - 2015         ,2007                , 3606090 , 2460919 , 239969513 , 2325238.81 
05-May-2016 09:24,201603,1981 - 2015         ,2008                , 3483882 , 2406643 , 235360813 , 2282153.362 
05-May-2016 09:24,201603,1981 - 2015         ,2009                , 3202241 , 2194920 , 218126313 , 2047861.314 
05-May-2016 09:24,201603,1981 - 2015         ,2010                , 2940777 , 2069786 , 210655826 , 2324822.103 
05-May-2016 09:24,201603,1981 - 2015         ,2011                , 2958608 , 2115941 , 219289421 , 2297601.935 
05-May-2016 09:24,201603,1981 - 2015         ,2012                , 2912859 , 2088836 , 220643625 , 2302328.502 
05-May-2016 09:24,201603,1981 - 2015         ,2013                , 2889444 , 2106353 , 228382236 , 2262387.007 
05-May-2016 09:24,201603,1981 - 2015         ,2014                , 2893817 , 2129900 , 238385366 , 2304487.165 
05-May-2016 09:24,201603,1981 - 2015         ,2015                , 2945441 , 2180931 , 251478601 , 2299343.559 
05-May-2016 09:24,201603,1981 - 2015         ,March     2015      , 2913561 , 2148108 , 241853321 , 2312979.697 
05-May-2016 09:24,201603,1981 - 2015         ,March     2016      , 2971881 , 2198132 , 255339341 , 2307139.062 
05-May-2016 09:24,201603,1981 - 2015         ,PERCENT             , 2.00167423987347 , 2.32874697175376 , 5.57611528518147 ,-0.252515619033544 
