rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,atms_scheduled,atms_charter,terminal_scheduled_pax,terminal_charter_pax,transit_scheduled_pax,transit_charter_pax,scheduled_freight,charter_freight,scheduled_mail,charter_mail
05-May-2016 09:24,201603,London Area Airports          ,GATWICK                       , 19483 , 1012 , 2928088 , 200743 , 519 , 0 , 5339.164 , 491.831 , 453.009 , 4.993 
05-May-2016 09:24,201603,London Area Airports          ,HEATHROW                      , 39035 , 159 , 6096897 , 3317 , 2278 , 0 , 128321.179 , 3211.361 , 8268.446 , 0 
05-May-2016 09:24,201603,London Area Airports          ,LONDON CITY                   , 6924 , 18 , 374911 , 0 , 78 , 0 , 2.22 , 0 , 146.527 , 0 
05-May-2016 09:24,201603,London Area Airports          ,LUTON                         , 7183 , 814 , 1033360 , 11201 , 567 , 9 , 373.238 , 2149.425 , 0 , 0 
05-May-2016 09:24,201603,London Area Airports          ,SOUTHEND                      , 650 , 53 , 68993 , 95 , 82 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,London Area Airports          ,STANSTED                      , 12710 , 498 , 1868675 , 23427 , 131 , 0 , 18923.625 , 505.149 , 1.035 , 1756.668 
05-May-2016 09:24,201603,Miscellaneous                 ,METRO LONDON HELIPORT         , 0 , 163 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Non UK Reporting Airports     ,ALDERNEY                      , 408 , 28 , 4377 , 0 , 0 , 0 , 7.994 , 0 , 5.498 , 0 
05-May-2016 09:24,201603,Non UK Reporting Airports     ,GUERNSEY                      , 1831 , 290 , 67123 , 132 , 3452 , 0 , 25.012 , 135.41 , 5.474 , 253.256 
05-May-2016 09:24,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 1623 , 186 , 66886 , 99 , 46 , 0 , 13.696 , 0 , 0 , 205.23 
05-May-2016 09:24,201603,Non UK Reporting Airports     ,JERSEY                        , 1998 , 124 , 117117 , 79 , 1845 , 0 , 213.09 , 6.587 , 143.624 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,ABERDEEN                      , 4082 , 3608 , 190309 , 46009 , 0 , 0 , 54.538 , 489.247 , 0.305 , 153.9 
05-May-2016 09:24,201603,Other UK Airports             ,BARRA                         , 108 , 0 , 1030 , 0 , 0 , 0 , 1.196 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 3247 , 66 , 208567 , 819 , 0 , 0 , 52.128 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 2656 , 544 , 356620 , 14264 , 0 , 0 , 6.204 , 2658.879 , 0 , 1354.223 
05-May-2016 09:24,201603,Other UK Airports             ,BENBECULA                     , 153 , 118 , 2561 , 0 , 0 , 0 , 0.5 , 0 , 0.232 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,BIGGIN HILL                   , 0 , 571 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,BIRMINGHAM                    , 7037 , 424 , 753972 , 76469 , 733 , 0 , 1215.926 , 6.154 , 13.253 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,BLACKPOOL                     , 116 , 637 , 1061 , 1720 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,BOURNEMOUTH                   , 219 , 58 , 28836 , 8355 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,BRISTOL                       , 3971 , 346 , 464972 , 46181 , 353 , 402 , 0 , 0 , 0.062 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,CAMPBELTOWN                   , 86 , 10 , 739 , 0 , 0 , 0 , 0.022 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,CARDIFF WALES                 , 989 , 95 , 61989 , 16240 , 856 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,CARLISLE                      , 0 , 45 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,CITY OF DERRY (EGLINTON)      , 164 , 0 , 25590 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,COVENTRY                      , 0 , 165 , 0 , 0 , 0 , 0 , 0 , 191.933 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,DONCASTER SHEFFIELD           , 468 , 141 , 54755 , 21360 , 0 , 0 , 420.342 , 94.892 , 0 , 0 
05-May-2016 09:24,201603,Other UK Airports             ,DUNDEE                        , 99 , 6 , 1623 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
