rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
05-May-2016 09:23,201603,London Area Airports          ,GATWICK                       , 21029 , 20495 , 4 , 384 , 6 , 20 , 4 , 0 , 18 , 0 , 0 , 102 
05-May-2016 09:23,201603,London Area Airports          ,HEATHROW                      , 39335 , 39194 , 10 , 86 , 0 , 4 , 4 , 0 , 6 , 14 , 2 , 25 
05-May-2016 09:23,201603,London Area Airports          ,LONDON CITY                   , 7331 , 6942 , 18 , 42 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 346 
05-May-2016 09:23,201603,London Area Airports          ,LUTON                         , 9688 , 7997 , 377 , 561 , 0 , 13 , 38 , 0 , 16 , 6 , 1 , 1056 
05-May-2016 09:23,201603,London Area Airports          ,SOUTHEND                      , 1634 , 703 , 52 , 84 , 27 , 56 , 8 , 447 , 228 , 2 , 2 , 77 
05-May-2016 09:23,201603,London Area Airports          ,STANSTED                      , 14249 , 13208 , 42 , 407 , 0 , 2 , 62 , 0 , 0 , 7 , 1 , 562 
05-May-2016 09:23,201603,Miscellaneous                 ,METRO LONDON HELIPORT         , 733 , 163 , 163 , 159 , 130 , 0 , 42 , 0 , 219 , 0 , 8 , 12 
05-May-2016 09:23,201603,Non UK Reporting Airports     ,ALDERNEY                      , 710 , 436 , 28 , 20 , 116 , 0 , 0 , 49 , 89 , 0 , 0 , 0 
05-May-2016 09:23,201603,Non UK Reporting Airports     ,GUERNSEY                      , 3297 , 2121 , 128 , 136 , 324 , 8 , 13 , 418 , 277 , 0 , 0 , 0 
05-May-2016 09:23,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 2403 , 1809 , 143 , 75 , 0 , 6 , 0 , 232 , 150 , 0 , 14 , 117 
05-May-2016 09:23,201603,Non UK Reporting Airports     ,JERSEY                        , 3558 , 2122 , 106 , 54 , 0 , 14 , 43 , 294 , 1021 , 0 , 10 , 0 
05-May-2016 09:23,201603,Other UK Airports             ,ABERDEEN                      , 8495 , 7690 , 869 , 376 , 0 , 221 , 0 , 202 , 0 , 0 , 2 , 4 
05-May-2016 09:23,201603,Other UK Airports             ,BARRA                         , 110 , 108 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 
