rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_atms_this_period,atms_passenger_aircraft_this_period,atms_cargo_aircraft_this_period,total_atms_last_period,atms_passenger_aircraft_last_period,atms_cargo_aircraft_last_period,total_atms_percent,atms_passenger_aircraft_percent,atms_cargo_aircraft_percent
05-May-2016 09:27,201603,201503,Other UK Airports             ,ABERDEEN                      , 6821 , 6710 , 111 , 8405 , 8259 , 146 ,-18.84592 ,-18.7553 ,-23.9726 
05-May-2016 09:27,201603,201503,Non UK Reporting Airports     ,ALDERNEY                      , 408 , 408 , 0 , 456 , 455 , 1 ,-10.52632 ,-10.32967 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BARRA                         , 108 , 108 , 0 , 52 , 52 , 0 , 107.6923 , 107.6923 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 3253 , 3253 , 0 , 3326 , 3326 , 0 ,-2.194829 ,-2.194829 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BELFAST INTERNATIONAL         , 3076 , 2739 , 337 , 2812 , 2466 , 346 , 9.388335 , 11.07056 ,-2.601156 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BENBECULA                     , 153 , 153 , 0 , 138 , 138 , 0 , 10.86957 , 10.86957 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BIGGIN HILL                   , 0 , 0 , 0 , 8 , 8 , 0 ,Null,Null,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BIRMINGHAM                    , 7438 , 7438 , 0 , 6968 , 6968 , 0 , 6.745121 , 6.745121 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BLACKPOOL                     , 596 , 596 , 0 , 487 , 487 , 0 , 22.38193 , 22.38193 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BOURNEMOUTH                   , 268 , 268 , 0 , 366 , 181 , 185 ,-26.77596 , 48.0663 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BRISTOL                       , 4317 , 4317 , 0 , 3768 , 3768 , 0 , 14.57006 , 14.57006 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,CAMBRIDGE                     , 0 , 0 , 0 , 36 , 36 , 0 ,Null,Null,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,CAMPBELTOWN                   , 86 , 86 , 0 , 78 , 78 , 0 , 10.25641 , 10.25641 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,CARDIFF WALES                 , 1083 , 1083 , 0 , 911 , 891 , 20 , 18.88035 , 21.54882 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,CITY OF DERRY (EGLINTON)      , 164 , 164 , 0 , 174 , 174 , 0 ,-5.747127 ,-5.747127 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,COVENTRY                      , 56 , 0 , 56 , 58 , 0 , 58 ,-3.448276 ,Null,-3.448276 
