rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_pax,pax_termial_scheduled_UK,pax_transit_scheduled_UK,pax_terminal_scheduled_foreign_EU,pax_transit_scheduled_foreign_EU,pax_terminal_scheduled_foreign_non_EU,pax_transit_scheduled_foreign_non_EU,pax_terminal_charter_UK,pax_transit_charter_UK,pax_terminal_charter_foreign_EU,pax_transit_charter_foreign_EU,pax_terminal_charter_foreign_non_EU,pax_transit_charter_foreign_non_EU
05-May-2016 09:26,201603,Other UK Airports             ,ABERDEEN                      , 236318 , 127857 , 0 , 55040 , 0 , 7412 , 0 , 45876 , 0 , 0 , 0 , 133 , 0 
05-May-2016 09:26,201603,Non UK Reporting Airports     ,ALDERNEY                      , 4377 , 4377 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BARRA                         , 1030 , 1030 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 209386 , 167380 , 0 , 41187 , 0 , 0 , 0 , 0 , 0 , 819 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 370884 , 341539 , 0 , 10452 , 0 , 4629 , 0 , 14139 , 0 , 125 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BENBECULA                     , 2561 , 2561 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BIRMINGHAM                    , 831174 , 294781 , 552 , 323676 , 181 , 135515 , 0 , 71135 , 0 , 4355 , 0 , 979 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BLACKPOOL                     , 2781 , 0 , 0 , 1061 , 0 , 0 , 0 , 1720 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BOURNEMOUTH                   , 37191 , 9627 , 0 , 19209 , 0 , 0 , 0 , 8269 , 0 , 86 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,BRISTOL                       , 511908 , 322129 , 353 , 142843 , 0 , 0 , 0 , 42218 , 402 , 3963 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,CAMPBELTOWN                   , 739 , 739 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,CARDIFF WALES                 , 79085 , 34153 , 856 , 27836 , 0 , 0 , 0 , 15950 , 0 , 290 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,CITY OF DERRY (EGLINTON)      , 25590 , 0 , 0 , 25590 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,DONCASTER SHEFFIELD           , 76115 , 7247 , 0 , 47508 , 0 , 0 , 0 , 21327 , 0 , 13 , 0 , 20 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,DUNDEE                        , 1623 , 1623 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,DURHAM TEES VALLEY            , 11837 , 2159 , 24 , 9654 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 281902 , 95216 , 0 , 156372 , 0 , 0 , 0 , 29530 , 0 , 784 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,EDINBURGH                     , 927127 , 570370 , 0 , 287649 , 0 , 49210 , 0 , 11795 , 0 , 8103 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,EXETER                        , 54347 , 42198 , 0 , 0 , 0 , 0 , 0 , 12147 , 0 , 2 , 0 , 0 , 0 
05-May-2016 09:26,201603,London Area Airports          ,GATWICK                       , 3129132 , 2080883 , 292 , 545303 , 0 , 301902 , 227 , 167704 , 0 , 32821 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,GLASGOW                       , 660129 , 414208 , 0 , 161914 , 170 , 54066 , 0 , 28294 , 472 , 1005 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,GLOUCESTERSHIRE               , 868 , 0 , 0 , 868 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Non UK Reporting Airports     ,GUERNSEY                      , 70707 , 67123 , 3452 , 0 , 0 , 0 , 0 , 122 , 0 , 10 , 0 , 0 , 0 
05-May-2016 09:26,201603,London Area Airports          ,HEATHROW                      , 6102477 , 3295513 , 0 , 905730 , 0 , 1895639 , 2278 , 2690 , 0 , 627 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,HUMBERSIDE                    , 16125 , 2182 , 30 , 10561 , 0 , 0 , 0 , 2621 , 0 , 731 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,INVERNESS                     , 52603 , 52494 , 102 , 0 , 0 , 0 , 0 , 0 , 0 , 7 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,ISLAY                         , 2116 , 2094 , 22 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 67031 , 58680 , 0 , 8206 , 46 , 0 , 0 , 0 , 0 , 99 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 5670 , 5670 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Non UK Reporting Airports     ,JERSEY                        , 119041 , 114902 , 1845 , 2215 , 0 , 0 , 0 , 73 , 0 , 6 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,KIRKWALL                      , 13040 , 12054 , 857 , 0 , 0 , 0 , 0 , 0 , 129 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,LANDS END (ST JUST)           , 4276 , 4260 , 16 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,LEEDS BRADFORD                , 221136 , 128940 , 4 , 89182 , 0 , 273 , 0 , 2033 , 0 , 634 , 70 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,LERWICK (TINGWALL)            , 318 , 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 377274 , 209457 , 13 , 167380 , 0 , 0 , 0 , 340 , 0 , 84 , 0 , 0 , 0 
05-May-2016 09:26,201603,London Area Airports          ,LONDON CITY                   , 374989 , 40034 , 0 , 297726 , 78 , 37151 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,London Area Airports          ,LUTON                         , 1045137 , 485239 , 463 , 539116 , 104 , 9005 , 0 , 9548 , 0 , 1555 , 4 , 98 , 5 
05-May-2016 09:26,201603,Other UK Airports             ,LYDD                          , 52 , 33 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 19 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,MANCHESTER                    , 1747106 , 753725 , 673 , 528837 , 0 , 306010 , 3598 , 147863 , 0 , 4260 , 0 , 1861 , 279 
05-May-2016 09:26,201603,Other UK Airports             ,NEWCASTLE                     , 299249 , 165504 , 128 , 74784 , 0 , 22151 , 0 , 35226 , 265 , 1175 , 0 , 16 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,NEWQUAY                       , 18591 , 17726 , 27 , 838 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,NORWICH                       , 33565 , 9211 , 0 , 11496 , 0 , 0 , 0 , 12446 , 0 , 412 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,OXFORD (KIDLINGTON)           , 8 , 4 , 0 , 0 , 0 , 0 , 0 , 4 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:26,201603,Other UK Airports             ,PRESTWICK                     , 38984 , 0 , 0 , 38596 , 19 , 0 , 0 , 0 , 0 , 3 , 0 , 2 , 364 
05-May-2016 09:26,201603,Other UK Airports             ,SCATSTA                       , 14525 , 0 , 0 , 0 , 0 , 0 , 0 , 14525 , 0 , 0 , 0 , 0 , 0 
