rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_this_period,total_pax_last_period,total_pax_percent
05-May-2016 09:27,201603,201503,Other UK Airports             ,ABERDEEN                      , 126437 , 8718 , 135155 , 169050 ,-20.05028 
05-May-2016 09:27,201603,201503,Non UK Reporting Airports     ,ALDERNEY                      , 4377 , 0 , 4377 , 4256 , 2.843045 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BARRA                         , 1030 , 0 , 1030 , 594 , 73.40067 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 203182 , 0 , 203182 , 208559 ,-2.578167 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BELFAST INTERNATIONAL         , 288362 , 166 , 288528 , 257471 , 12.06233 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BENBECULA                     , 2561 , 0 , 2561 , 2629 ,-2.586535 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BIGGIN HILL                   , 0 , 0 , 0 , 116 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BIRMINGHAM                    , 110620 , 0 , 110620 , 108611 , 1.849721 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BLACKPOOL                     , 1061 , 3 , 1064 , 0 ,Null
05-May-2016 09:27,201603,201503,Other UK Airports             ,BOURNEMOUTH                   , 221 , 154 , 375 , 185 , 102.7027 
05-May-2016 09:27,201603,201503,Other UK Airports             ,BRISTOL                       , 110666 , 264 , 110930 , 102646 , 8.070456 
05-May-2016 09:27,201603,201503,Other UK Airports             ,CAMPBELTOWN                   , 739 , 0 , 739 , 608 , 21.54605 
05-May-2016 09:27,201603,201503,Other UK Airports             ,CARDIFF WALES                 , 17519 , 136 , 17655 , 9635 , 83.2382 
05-May-2016 09:27,201603,201503,Other UK Airports             ,CITY OF DERRY (EGLINTON)      , 25590 , 0 , 25590 , 24140 , 6.006628 
05-May-2016 09:27,201603,201503,Other UK Airports             ,DONCASTER SHEFFIELD           , 1528 , 7 , 1535 , 18 , 8427.777 
05-May-2016 09:27,201603,201503,Other UK Airports             ,DUNDEE                        , 1623 , 0 , 1623 , 1372 , 18.29446 
05-May-2016 09:27,201603,201503,Other UK Airports             ,DURHAM TEES VALLEY            , 2159 , 0 , 2159 , 2448 ,-11.80556 
