rundate,reporting_period,span,Region_name,year_1_in_span,year_2_in_span,year_3_in_span,year_4_in_span,year_5_in_span,year_6_in_span,year_7_in_span,year_8_in_span,year_9_in_span,year_10_in_span,year_11_in_span,q01,q02,q03,q04,q05,q06,q07,q08
05-May-2016 09:28,201603,2005 - 2016,AUSTRALIA AND NEW ZEALAND, 1400083 , 1383891 , 1554564 , 1637352 , 1475338 , 1416339 , 1359367 , 1011598 , 895310 , 614376 , 569574 , 136737 , 137744 , 154162 , 140931 , 129242 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,AUSTRIA, 1796030 , 1787836 , 1876795 , 1825637 , 1745736 , 1661810 , 1704713 , 1669179 , 1545213 , 1620872 , 1780154 , 558743 , 391514 , 429667 , 400230 , 631202 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,BELGIUM, 1711558 , 1625816 , 1624523 , 1398195 , 1185493 , 1121230 , 1233617 , 1294564 , 1286722 , 1439692 , 1591784 , 359618 , 397812 , 438554 , 395800 , 337923 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,BULGARIA, 771098 , 919307 , 952628 , 992445 , 880830 , 858427 , 878146 , 909121 , 978780 , 1005469 , 1126581 , 205301 , 268023 , 463656 , 189601 , 244559 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,CANADA, 3605803 , 3633959 , 3865164 , 3522032 , 3102932 , 3064637 , 3142120 , 3163195 , 3079695 , 3163449 , 3154275 , 555570 , 848030 , 1123467 , 627208 , 570694 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,CARIBBEAN, 1827877 , 1902622 , 1948200 , 1947233 , 1832556 , 1728488 , 1738356 , 1583658 , 1535567 , 1623556 , 1808195 , 546316 , 385567 , 390043 , 486269 , 577506 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,CENTRAL AFRICA, 67448 , 69450 , 67975 , 65887 , 65215 , 73435 , 82643 , 81981 , 71401 , 37547 , 29968 , 8605 , 7211 , 7756 , 6396 , 5131 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,CENTRAL AMERICA, 1270169 , 1353047 , 1334395 , 1380260 , 1239869 , 1259300 , 1261132 , 1175978 , 1330924 , 1412147 , 1540878 , 301343 , 406320 , 452247 , 380968 , 335789 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,CROATIA, 397276 , 567866 , 658586 , 575793 , 619642 , 623176 , 655533 , 761913 , 892577 , 976246 , 1058726 , 45619 , 319025 , 575293 , 118789 , 42673 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,CYPRUS, 2988896 , 3005786 , 2969366 , 2951229 , 2702559 , 2596514 , 2658830 , 2517610 , 2330502 , 2293054 , 2408905 , 236198 , 733517 , 963570 , 475620 , 271425 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,CZECH REPUBLIC, 2354716 , 2158779 , 2071232 , 1817061 , 1515628 , 1276062 , 1295290 , 1369672 , 1387425 , 1506439 , 1746582 , 348187 , 453148 , 480545 , 464702 , 400568 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,DENMARK, 2255265 , 2305541 , 2345550 , 2394887 , 2451811 , 2406962 , 2559001 , 2568261 , 2785365 , 2978667 , 3366372 , 675575 , 887123 , 919261 , 884413 , 809083 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,EAST AFRICA, 736198 , 774247 , 863500 , 719696 , 779281 , 773430 , 816251 , 680398 , 538200 , 558080 , 497389 , 117237 , 119398 , 147172 , 113582 , 112889 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,ESTONIA, 186204 , 178309 , 179377 , 156827 , 99236 , 104391 , 244073 , 173049 , 143684 , 146702 , 147197 , 30601 , 41660 , 43137 , 31799 , 26169 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,FAR EAST, 4726268 , 5019798 , 5138619 , 4875623 , 4929010 , 4902916 , 5004586 , 5224956 , 5519484 , 5797962 , 6197232 , 1428230 , 1506251 , 1758415 , 1504336 , 1524852 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,FINLAND, 798840 , 930630 , 944546 , 960923 , 946250 , 982801 , 1009508 , 969404 , 1021102 , 1114717 , 1151690 , 246778 , 265104 , 280867 , 358941 , 246000 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,FRANCE, 11009372 , 11574619 , 11790462 , 11683710 , 10732377 , 9663933 , 10273276 , 10235931 , 10401548 , 10668560 , 11040353 , 2238613 , 2963715 , 3571896 , 2266129 , 2334896 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,GERMANY, 10938150 , 11503380 , 11608664 , 11157572 , 10717067 , 11170256 , 11642226 , 11856618 , 12210845 , 12484570 , 13300465 , 2801761 , 3445722 , 3723901 , 3329081 , 3001747 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,GREECE, 5596752 , 5521674 , 5457453 , 5199575 , 4874126 , 4724433 , 4778358 , 4797772 , 4953615 , 5615015 , 6096399 , 306321 , 1889416 , 3184964 , 715698 , 320714 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,HUNGARY, 1118937 , 1013666 , 960245 , 1096164 , 960754 , 954690 , 1037318 , 1245360 , 1330031 , 1506783 , 1736724 , 373874 , 437283 , 477429 , 448138 , 442674 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,INDIAN SUB-CONTINENT, 2677304 , 3475118 , 3618575 , 3546346 , 3396581 , 3417946 , 3516286 , 3301339 , 3599343 , 3626782 , 3466029 , 963275 , 791294 , 840577 , 870883 , 945192 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,IRISH REPUBLIC, 11791916 , 12361575 , 12259633 , 12321143 , 10897270 , 9555607 , 9728101 , 9514249 , 9690099 , 10435829 , 11577083 , 2539949 , 2934923 , 3125618 , 2976593 , 2900990 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,ITALY, 10714691 , 10574073 , 11208864 , 10740189 , 9915202 , 9620884 , 10261646 , 10847314 , 11034407 , 11922511 , 12704564 , 2277673 , 3531114 , 4143974 , 2751803 , 2577607 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,JAPAN, 1184502 , 1085254 , 1031450 , 963123 , 779606 , 683822 , 653121 , 720369 , 698697 , 723169 , 611328 , 146528 , 149898 , 169899 , 145003 , 135608 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,LATVIA, 309000 , 461205 , 479098 , 464232 , 458370 , 549904 , 584526 , 503581 , 544342 , 608283 , 718373 , 153220 , 180619 , 201725 , 182809 , 182128 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,LITHUANIA, 221954 , 319430 , 339907 , 358583 , 318534 , 473475 , 564041 , 728268 , 739874 , 737999 , 835760 , 175750 , 213513 , 234022 , 212475 , 204436 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,MALTA, 1110146 , 1055028 , 1148322 , 1100777 , 1023685 , 1037703 , 1091366 , 1111463 , 1160548 , 1231056 , 1289450 , 224100 , 358339 , 417879 , 289132 , 240844 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,MIDDLE EAST, 4301555 , 4846924 , 5433000 , 5651079 , 6159754 , 6533231 , 6871129 , 7128181 , 7893114 , 8515024 , 9374534 , 2226812 , 2121120 , 2651435 , 2375167 , 2472692 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,NEAR EAST, 1052130 , 1021962 , 1065096 , 1219666 , 1298591 , 1244722 , 1294952 , 1282582 , 1371181 , 1393187 , 1444846 , 294759 , 374898 , 426635 , 348554 , 313813 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,NETHERLANDS, 7887673 , 8258468 , 8352730 , 7660053 , 6972979 , 6876857 , 7550549 , 7770895 , 8183647 , 8749648 , 9457039 , 2047887 , 2455107 , 2525984 , 2428061 , 2335122 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,NORTH AFRICA, 2776309 , 3465934 , 3632586 , 3641099 , 4071069 , 4679655 , 3617455 , 3791241 , 3999656 , 4089282 , 3547057 , 888693 , 1107841 , 899798 , 650725 , 457904 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,NORWAY, 1726212 , 1892637 , 1856603 , 1990255 , 2015706 , 2082774 , 2238690 , 2429517 , 2743216 , 2749987 , 2738519 , 635705 , 695270 , 741160 , 666384 , 622460 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,OIL RIGS, 626917 , 713158 , 767702 , 763307 , 752352 , 714477 , 760697 , 780575 , 840611 , 886216 , 825238 , 201527 , 214354 , 218560 , 190797 , 157318 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,OTHER EASTERN EUROPE, 1098660 , 1216566 , 1290938 , 1297519 , 1212076 , 1317672 , 1501081 , 1559346 , 1677717 , 1591362 , 1439047 , 315179 , 354129 , 449268 , 320471 , 298436 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,OTHER EU, 537088 , 547723 , 555001 , 620771 , 565368 , 516668 , 643091 , 668989 , 762376 , 802817 , 845548 , 165756 , 220431 , 245825 , 213536 , 189732 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,OTHER WESTERN EUROPE, 150867 , 168724 , 189053 , 193891 , 177864 , 199855 , 214724 , 215639 , 216256 , 245261 , 271320 , 49163 , 71295 , 90895 , 59967 , 56699 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,OTHERS, 776938 , 819517 , 928560 , 867335 , 801977 , 862527 , 925184 , 959316 , 995923 , 1143083 , 1425806 , 348284 , 316475 , 342996 , 418051 , 468620 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,POLAND, 1845842 , 3329659 , 4351816 , 5022767 , 4228339 , 4226050 , 4261221 , 4619406 , 5312235 , 5206473 , 6164007 , 1304192 , 1596011 , 1704408 , 1559396 , 1552656 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,PORTUGAL, 4540094 , 4743805 , 5271646 , 5448388 , 4949512 , 4896680 , 5339603 , 5141274 , 5459341 , 6104810 , 6600909 , 940895 , 1945403 , 2369243 , 1345368 , 1094783 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,ROMANIA, 157433 , 194466 , 333255 , 487685 , 552845 , 630609 , 717069 , 771967 , 826253 , 1154033 , 1552772 , 328940 , 388361 , 438118 , 397353 , 429858 , 0 , 0 , 0 
05-May-2016 09:28,201603,2005 - 2016,SLOVAK REPUBLIC, 284627 , 469738 , 529440 , 715603 , 563008 , 505240 , 468821 , 454400 , 439543 , 509387 , 653367 , 140218 , 164345 , 184630 , 164174 , 160545 , 0 , 0 , 0 
