rundate,this_period,foreign_region,foreign_country,UK_airport,foreign_airport,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
05-May-2016 09:32,201603,=,=,MANCHESTER,=, 457 , 0 , 457 , 0 , 0 , 0 , 0 
05-May-2016 09:32,201603,EASTERN EUROPE -OTHER,ALBANIA,GATWICK,TIRANA, 5711 , 5711 , 0 , 4436 , 4317 , 119 , 28.7421100090171 
05-May-2016 09:32,201603,NORTH AFRICA,ALGERIA,GATWICK,ALGIERS, 4011 , 4011 , 0 , 3298 , 3298 , 0 , 21.6191631291692 
05-May-2016 09:32,201603,NORTH AFRICA,ALGERIA,GATWICK,HASSI MESSAOUD, 0 , 0 , 0 , 756 , 0 , 756 , 0 
05-May-2016 09:32,201603,NORTH AFRICA,ALGERIA,HEATHROW,ALGIERS, 5642 , 5642 , 0 , 5420 , 5420 , 0 , 4.09594095940959 
05-May-2016 09:32,201603,NORTH AFRICA,ALGERIA,STANSTED,HASSI MESSAOUD, 714 , 0 , 714 , 0 , 0 , 0 , 0 
05-May-2016 09:32,201603,CENTRAL AFRICA,ANGOLA,HEATHROW,LUANDA, 1531 , 1531 , 0 , 2715 , 2715 , 0 ,-43.609576427256 
05-May-2016 09:32,201603,CARIBBEAN AREA,ANTIGUA AND BARBUDA,GATWICK,ANTIGUA, 10741 , 10741 , 0 , 12002 , 12002 , 0 ,-10.506582236294 
05-May-2016 09:32,201603,CARIBBEAN AREA,ANTIGUA AND BARBUDA,MANCHESTER,ANTIGUA, 926 , 926 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:32,201603,SOUTH AMERICA,ARGENTINA,HEATHROW,BUENOS AIRES, 13109 , 13109 , 0 , 15208 , 15208 , 0 ,-13.8019463440295 
05-May-2016 09:32,201603,AUSTRALASIA,AUSTRALIA,HEATHROW,MELBOURNE, 11471 , 11471 , 0 , 10939 , 10939 , 0 , 4.86333302861322 
05-May-2016 09:32,201603,AUSTRALASIA,AUSTRALIA,HEATHROW,SYDNEY, 24553 , 24553 , 0 , 25010 , 25010 , 0 ,-1.82726909236305 
