rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent,charters_tm_only_small_acf,charters_lm_only_small_acf
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,ABERDEEN                      , 4 , 4 , 0 , 0 , 0 , 0 ,Null,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,BELFAST CITY (GEORGE BEST)    , 3280 , 3280 , 0 , 3800 , 3800 , 0 ,-13.68421 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,BIRMINGHAM                    , 9902 , 9902 , 0 , 10294 , 10294 , 0 ,-3.808043 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,BRISTOL                       , 1727 , 1727 , 0 , 2508 , 2508 , 0 ,-31.14035 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,CARDIFF WALES                 , 691 , 691 , 0 , 1072 , 1072 , 0 ,-35.54105 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,DURHAM TEES VALLEY            , 2038 , 2038 , 0 , 2488 , 2488 , 0 ,-18.08682 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,EAST MIDLANDS INTERNATIONAL   , 1191 , 1191 , 0 , 1414 , 1414 , 0 ,-15.77086 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,GATWICK                       , 13932 , 13932 , 0 , 13411 , 13411 , 0 , 3.884871 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,HEATHROW                      , 45122 , 45122 , 0 , 58087 , 58087 , 0 ,-22.31997 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,HUMBERSIDE                    , 2065 , 2065 , 0 , 2587 , 2587 , 0 ,-20.17781 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,JERSEY                        , 0 , 0 , 0 , 5048 , 5048 , 0 ,-100 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,KIRKWALL                      , 3748 , 3748 , 0 , 4038 , 4038 , 0 ,-7.181773 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,LEEDS BRADFORD                , 574 , 574 , 0 , 1057 , 1057 , 0 ,-45.69537 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,LONDON CITY                   , 6092 , 6092 , 0 , 5171 , 5171 , 0 , 17.81087 ,N,N
05-May-2016 09:33,201603,201503,Other Reporting Airports      ,ABERDEEN                      ,LUTON                         , 5871 , 5871 , 0 , 4908 , 4906 , 2 , 19.62103 ,N,N
