rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
05-May-2016 09:30,201603,Other UK Airports             ,ABERDEEN                      , 543.785 , 5.534 , 15.53 , 11.635 , 10.478 , 4.463 , 6.898 , 28.255 , 68.55 , 227.409 , 164.343 , 0 , 0.69 
05-May-2016 09:30,201603,Non UK Reporting Airports     ,ALDERNEY                      , 7.994 , 5.173 , 2.821 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BARRA                         , 1.196 , 1.196 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 52.128 , 14.009 , 17.613 , 8.494 , 12.012 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 2665.083 , 0 , 0 , 0 , 0 , 5.999 , 0.205 , 16.201 , 0 , 1660.459 , 982.219 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BENBECULA                     , 0.5 , 0.097 , 0.403 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BIRMINGHAM                    , 1222.08 , 7.597 , 3.376 , 4.656 , 0.926 , 555.218 , 644.153 , 5.876 , 0.278 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,COVENTRY                      , 191.933 , 0 , 0 , 0 , 0 , 0 , 0 , 0.017 , 9.301 , 94.219 , 88.396 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,DONCASTER SHEFFIELD           , 515.234 , 0 , 0 , 202.287 , 218.055 , 0 , 0 , 0.3 , 0 , 0 , 0 , 90.359 , 4.233 
05-May-2016 09:30,201603,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 26305.614 , 0 , 0 , 3693.996 , 3277.07 , 2348.518 , 1808.416 , 1743.884 , 1653.673 , 5765.033 , 5268.982 , 264.968 , 481.074 
05-May-2016 09:30,201603,Other UK Airports             ,EDINBURGH                     , 1528.218 , 6.703 , 0 , 394.859 , 471.742 , 0 , 0 , 0 , 0 , 470.668 , 184.246 , 0 , 0 
05-May-2016 09:30,201603,London Area Airports          ,GATWICK                       , 5830.995 , 1308.396 , 1754.133 , 80.718 , 27.107 , 1191.91 , 976.9 , 358.844 , 132.987 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,GLASGOW                       , 1047.818 , 28.812 , 38.75 , 6.089 , 9.048 , 224.957 , 685.942 , 0.084 , 0.096 , 0 , 0 , 28.73 , 25.31 
05-May-2016 09:30,201603,Non UK Reporting Airports     ,GUERNSEY                      , 160.422 , 18.462 , 6.55 , 0 , 0 , 0 , 0 , 120.549 , 12.101 , 0.934 , 1.826 , 0 , 0 
05-May-2016 09:30,201603,London Area Airports          ,HEATHROW                      , 131532.54 , 29414.507 , 30496.193 , 1156.334 , 415.237 , 34387.835 , 32451.073 , 0 , 0 , 1812.984 , 1398.377 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,HUMBERSIDE                    , 10.868 , 0.228 , 2.225 , 0 , 0 , 0 , 0 , 2.484 , 5.931 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,ISLAY                         , 15.846 , 7.957 , 7.889 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 13.696 , 9.672 , 3.76 , 0.264 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 7.158 , 4.641 , 2.517 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Non UK Reporting Airports     ,JERSEY                        , 219.677 , 41.127 , 5.021 , 146.766 , 20.176 , 0 , 0 , 1.887 , 0 , 4.7 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,KIRKWALL                      , 2.649 , 0.522 , 2.127 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,LANDS END (ST JUST)           , 7.1 , 2.5 , 4.6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,LEEDS BRADFORD                , 0.783 , 0.135 , 0.638 , 0.01 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,LIVERPOOL (JOHN LENNON)       , 29.938 , 3.422 , 7.996 , 0.02 , 17.6 , 0 , 0 , 0 , 0 , 0.9 , 0 , 0 , 0 
05-May-2016 09:30,201603,London Area Airports          ,LONDON CITY                   , 2.22 , 0 , 0.003 , 0.107 , 0.988 , 0.463 , 0.659 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,London Area Airports          ,LUTON                         , 2522.663 , 10.425 , 4.03 , 1.215 , 3.501 , 236.344 , 117.723 , 0 , 0 , 1775.677 , 373.748 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,MANCHESTER                    , 8380.824 , 186.088 , 440.957 , 424.63 , 245.254 , 3793.471 , 3050.114 , 180.873 , 44.548 , 0 , 0 , 14.889 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,NEWCASTLE                     , 288.731 , 0.019 , 0 , 0.223 , 0.382 , 78.848 , 120.934 , 5.261 , 5.313 , 0 , 0 , 35.32 , 42.431 
05-May-2016 09:30,201603,Other UK Airports             ,NORWICH                       , 31.574 , 0 , 0 , 0 , 0 , 0 , 0 , 15.087 , 16.487 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,PRESTWICK                     , 1035.632 , 0 , 0 , 602.487 , 240.176 , 0 , 0 , 0 , 0 , 81.881 , 36.765 , 9 , 65.323 
05-May-2016 09:30,201603,Other UK Airports             ,SCATSTA                       , 39.181 , 0 , 0 , 0 , 0 , 0 , 0 , 18.272 , 20.909 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,SOUTHAMPTON                   , 16.221 , 2.936 , 13.28 , 0 , 0.005 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,London Area Airports          ,STANSTED                      , 19428.774 , 0 , 0.307 , 2219.584 , 448.317 , 10336.248 , 5919.169 , 341.493 , 18.034 , 9.029 , 50.173 , 66.011 , 20.409 
05-May-2016 09:30,201603,Other UK Airports             ,STORNOWAY                     , 8.959 , 7.385 , 1.574 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,SUMBURGH                      , 22.293 , 18.026 , 0.953 , 0 , 0 , 0 , 0 , 0.962 , 2.352 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,TIREE                         , 1.237 , 1.092 , 0.145 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
