rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,freight_scheduled_passenger_aircraft_foreign_EU,freight_scheduled_cargo_aircraft_foreign_EU,freight_passenger_aircraft_foreign_EU,freight_charter_cargo_aircraft_foreign_EU,freight_scheduled_passenger_aircraft_foreign_EU1,freight_scheduled_cargo_aircraft_foreign_non_EU,freight_charter_passenger_aircraft_foreign_non_EU,freight_charter_cargo_aircraft_foreign_non_EU,freight_schedueld_passenger_aircraft_UK,freight_scheduled_cargo_aircraft_UK,freight_charter_passenger_aircraft_UK,freight_charter_cargo_aircraft_UK
05-May-2016 09:30,201603,Other UK Airports             ,ABERDEEN                      , 13.458 , 0 , 0.076 , 0 , 20.076 , 0 , 78.437 , 2.514 , 21.004 , 0 , 16.468 , 391.752 
05-May-2016 09:30,201603,Non UK Reporting Airports     ,ALDERNEY                      , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7.994 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BARRA                         , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.196 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 52.128 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 0 , 0 , 0 , 51.578 , 6.204 , 0 , 0 , 0 , 0 , 0 , 0 , 2607.301 
05-May-2016 09:30,201603,Other UK Airports             ,BENBECULA                     , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.5 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,BIRMINGHAM                    , 12.084 , 0 , 0.006 , 0 , 1199.881 , 0 , 6.148 , 0 , 3.961 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,COVENTRY                      , 0 , 0 , 0 , 191.933 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,DONCASTER SHEFFIELD           , 0 , 420.342 , 0.3 , 0 , 0 , 0 , 2.233 , 92.359 , 0 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 0 , 7507.786 , 0 , 9710.527 , 0 , 1973.333 , 0 , 3404.508 , 0 , 1646.881 , 0 , 2062.579 
05-May-2016 09:30,201603,Other UK Airports             ,EDINBURGH                     , 0 , 863.703 , 0 , 64.885 , 0 , 0 , 0 , 0 , 6.703 , 2.898 , 0 , 590.029 
05-May-2016 09:30,201603,London Area Airports          ,GATWICK                       , 86.605 , 0 , 56.834 , 0 , 5222.611 , 0 , 434.997 , 0 , 29.948 , 0 , 0 , 0 
05-May-2016 09:30,201603,Other UK Airports             ,GLASGOW                       , 12.204 , 4.37 , 0.18 , 54.04 , 877.657 , 0 , 0 , 0 , 70.494 , 28.873 , 0 , 0 
05-May-2016 09:30,201603,Non UK Reporting Airports     ,GUERNSEY                      , 0.142 , 0 , 0 , 9.294 , 0 , 0 , 0 , 0 , 24.726 , 0.144 , 0 , 126.116 
