rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_freight_passenger_aircraft_this_period,total_freight_passenger_aircraft_last_period,total_freight_passenger_aircraft_percent_change,total_freight_cargo_aircraft_this_period,total_freight_cargo_aircraft_last_period,total_freight_cargo_aircraft_percent_change,total_freight_this_period,total_freight_last_period,total_freight_percent_change
05-May-2016 09:31,201603,201503,Other UK Airports             ,ABERDEEN                      , 149.519 , 242.522 ,-38 , 394.266 , 288.661 , 36 , 543.785 , 531.183 , 2 
05-May-2016 09:31,201603,201503,Non UK Reporting Airports     ,ALDERNEY                      , 7.994 , 9.735 ,-20 , 0 , 0.316 ,Null, 7.994 , 10.051 ,-20 
05-May-2016 09:31,201603,201503,Other UK Airports             ,BARRA                         , 1.196 , 1.191 , 0 , 0 , 0 ,Null, 1.196 , 1.191 , 0 
05-May-2016 09:31,201603,201503,Other UK Airports             ,BELFAST CITY (GEORGE BEST)    , 52.128 , 55.522 ,-7 , 0 , 0 ,Null, 52.128 , 55.522 ,-7 
05-May-2016 09:31,201603,201503,Other UK Airports             ,BELFAST INTERNATIONAL         , 6.204 , 0.712 , 500 , 2658.879 , 2485.393 , 7 , 2665.083 , 2486.105 , 7 
05-May-2016 09:31,201603,201503,Other UK Airports             ,BENBECULA                     , 0.5 , 0.614 , 0 , 0 , 0 ,Null, 0.5 , 0.614 , 0 
05-May-2016 09:31,201603,201503,Other UK Airports             ,BIRMINGHAM                    , 1222.08 , 718.895 , 70 , 0 , 0 ,Null, 1222.08 , 718.895 , 70 
05-May-2016 09:31,201603,201503,Other UK Airports             ,BOURNEMOUTH                   , 0 , 0 ,Null, 0 , 149.595 ,Null, 0 , 149.595 ,Null
05-May-2016 09:31,201603,201503,Other UK Airports             ,COVENTRY                      , 0 , 0 ,Null, 191.933 , 180.638 , 6 , 191.933 , 180.638 , 6 
05-May-2016 09:31,201603,201503,Other UK Airports             ,DONCASTER SHEFFIELD           , 2.533 , 0.125 ,Null, 512.701 , 189.258 , 171 , 515.234 , 189.383 , 172 
05-May-2016 09:31,201603,201503,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 0 , 1.432 ,Null, 26305.614 , 24527.335 , 7 , 26305.614 , 24528.767 , 7 
05-May-2016 09:31,201603,201503,Other UK Airports             ,EDINBURGH                     , 6.703 , 10.164 ,-30 , 1521.515 , 1638.046 ,-7 , 1528.218 , 1648.21 ,-7 
05-May-2016 09:31,201603,201503,London Area Airports          ,GATWICK                       , 5830.995 , 7886.089 ,-26 , 0 , 0 ,Null, 5830.995 , 7886.089 ,-26 
05-May-2016 09:31,201603,201503,Other UK Airports             ,GLASGOW                       , 960.535 , 908.806 , 6 , 87.283 , 58.002 , 50 , 1047.818 , 966.808 , 8 
05-May-2016 09:31,201603,201503,Non UK Reporting Airports     ,GUERNSEY                      , 24.868 , 27.706 ,-11 , 135.554 , 140.316 ,-3 , 160.422 , 168.022 ,-5 
05-May-2016 09:31,201603,201503,London Area Airports          ,HEATHROW                      , 124473.133 , 130296.64 ,-4 , 7059.407 , 6528.968 , 8 , 131532.54 , 136825.608 ,-4 
05-May-2016 09:31,201603,201503,Other UK Airports             ,HUMBERSIDE                    , 9.061 , 13.143 ,-31 , 1.807 , 2.209 , 0 , 10.868 , 15.352 ,-27 
05-May-2016 09:31,201603,201503,Other UK Airports             ,ISLAY                         , 15.846 , 16.004 , 0 , 0 , 0 ,Null, 15.846 , 16.004 , 0 
05-May-2016 09:31,201603,201503,Non UK Reporting Airports     ,ISLE OF MAN                   , 13.696 , 16.552 ,-18 , 0 , 14.548 ,Null, 13.696 , 31.1 ,-55 
05-May-2016 09:31,201603,201503,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 2.657 , 1.842 , 50 , 4.501 , 3.311 , 67 , 7.158 , 5.153 , 40 
05-May-2016 09:31,201603,201503,Non UK Reporting Airports     ,JERSEY                        , 97.41 , 20.668 , 362 , 122.267 , 212.666 ,-43 , 219.677 , 233.334 ,-6 
05-May-2016 09:31,201603,201503,Other UK Airports             ,KIRKWALL                      , 2.642 , 2.954 , 0 , 0.007 , 0 ,Null, 2.649 , 2.954 , 0 
