rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_mail,mail_set_down_scheduled_UK,mail_picked_up_scheduled_UK,mail_set_down_scheduled_foreign_EU,mail_picked_up_scheduled_foreign_EU,mail_set_down_scheduled_foreign_non_EU,mail_picked_up_scheduled_foreign_non_EU,mail_set_down_charter_UK,mail_picked_up_charter_UK,mail_set_down_charter_foreign_EU,mail_picked_up_charter_foreign_EU,mail_set_down_charter_foreign_non_EU,mail_picked_up_charter_foreign_non_EU
05-May-2016 09:31,201603,Other UK Airports             ,ABERDEEN                      , 154.205 , 0 , 0.304 , 0 , 0.001 , 0 , 0 , 28.488 , 7.917 , 87.106 , 30.389 , 0 , 0 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,ALDERNEY                      , 5.498 , 3.799 , 1.699 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,BELFAST INTERNATIONAL         , 1354.223 , 0 , 0 , 0 , 0 , 0 , 0 , 708.645 , 523.683 , 110.38 , 11.515 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,BIRMINGHAM                    , 13.253 , 0 , 0 , 0 , 0.224 , 0 , 13.029 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 2212.271 , 862.955 , 970.073 , 77.852 , 257.149 , 0 , 0 , 0 , 39.533 , 0 , 4.709 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,EDINBURGH                     , 1396.428 , 770.401 , 556.95 , 44.424 , 10.687 , 0 , 0 , 0 , 0 , 0 , 13.966 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,EXETER                        , 284.424 , 0 , 0 , 0 , 0 , 0 , 0 , 159.192 , 125.232 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,London Area Airports          ,GATWICK                       , 458.002 , 24.436 , 89.892 , 61.862 , 127.71 , 40.654 , 108.455 , 0 , 4.993 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,GLASGOW                       , 6.809 , 2.222 , 4.453 , 0.069 , 0.064 , 0 , 0.001 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,GUERNSEY                      , 258.73 , 1.675 , 3.799 , 0 , 0 , 0 , 0 , 121.235 , 132.021 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,London Area Airports          ,HEATHROW                      , 8268.446 , 734.967 , 1301.631 , 494.37 , 410.19 , 2478.317 , 2848.971 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,ISLAY                         , 5.709 , 3.902 , 1.807 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,ISLE OF MAN                   , 205.23 , 0 , 0 , 0 , 0 , 0 , 0 , 5.3 , 11.444 , 114.587 , 73.899 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 23.301 , 13.053 , 10.248 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Non UK Reporting Airports     ,JERSEY                        , 143.624 , 27.33 , 0.992 , 77.983 , 37.319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,KIRKWALL                      , 2.413 , 0.709 , 1.704 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,LANDS END (ST JUST)           , 23.2 , 10.2 , 13 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,London Area Airports          ,LONDON CITY                   , 146.527 , 0 , 0 , 0.02 , 14.399 , 26.74 , 105.368 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,MANCHESTER                    , 260.39 , 0.452 , 0.24 , 0 , 0 , 0.428 , 259.238 , 0 , 0.032 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,NEWCASTLE                     , 428.302 , 117.816 , 125.53 , 107.38 , 77.576 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,SOUTHAMPTON                   , 4.443 , 4.439 , 0.004 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
05-May-2016 09:31,201603,London Area Airports          ,STANSTED                      , 1757.703 , 0 , 0 , 0 , 0 , 1.035 , 0 , 553.515 , 882.876 , 109.846 , 210.431 , 0 , 0 
05-May-2016 09:31,201603,Other UK Airports             ,TIREE                         , 3.362 , 2.969 , 0.393 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
