rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
05-May-2016 09:28,201603,201503,Other UK Airports             ,ABERDEEN                      , 0.385 , 0.352 ,Null, 153.82 , 133.862 , 15 , 154.205 , 134.214 , 15 
05-May-2016 09:28,201603,201503,Non UK Reporting Airports     ,ALDERNEY                      , 5.498 , 6.417 ,-17 , 0 , 0.043 ,Null, 5.498 , 6.46 ,-17 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BELFAST INTERNATIONAL         , 0 , 0 ,Null, 1354.223 , 1354.505 , 0 , 1354.223 , 1354.505 , 0 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BIRMINGHAM                    , 13.253 , 6.238 , 117 , 0 , 0 ,Null, 13.253 , 6.238 , 117 
05-May-2016 09:28,201603,201503,Other UK Airports             ,BOURNEMOUTH                   , 0 , 0 ,Null, 0 , 711.84 ,Null, 0 , 711.84 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,CARDIFF WALES                 , 0 , 0 ,Null, 0 , 40.539 ,Null, 0 , 40.539 ,Null
05-May-2016 09:28,201603,201503,Other UK Airports             ,EAST MIDLANDS INTERNATIONAL   , 2168.779 , 0 ,Null, 43.492 , 2569.39 ,-98 , 2212.271 , 2569.39 ,-14 
05-May-2016 09:28,201603,201503,Other UK Airports             ,EDINBURGH                     , 0 , 0 ,Null, 1396.428 , 1447.685 ,-4 , 1396.428 , 1447.685 ,-4 
05-May-2016 09:28,201603,201503,Other UK Airports             ,EXETER                        , 0 , 0 ,Null, 284.424 , 285.565 ,-1 , 284.424 , 285.565 ,-1 
05-May-2016 09:28,201603,201503,London Area Airports          ,GATWICK                       , 458.002 , 524.027 ,-13 , 0 , 0 ,Null, 458.002 , 524.027 ,-13 
05-May-2016 09:28,201603,201503,Other UK Airports             ,GLASGOW                       , 6.803 , 9.867 ,-30 , 0.006 , 0 ,Null, 6.809 , 9.867 ,-30 
05-May-2016 09:28,201603,201503,Non UK Reporting Airports     ,GUERNSEY                      , 5.474 , 6.367 ,-17 , 253.256 , 248.605 , 2 , 258.73 , 254.972 , 2 
05-May-2016 09:28,201603,201503,London Area Airports          ,HEATHROW                      , 8262.155 , 7976.942 , 4 , 6.291 , 11.524 ,-50 , 8268.446 , 7988.466 , 4 
05-May-2016 09:28,201603,201503,Other UK Airports             ,ISLAY                         , 5.709 , 5.41 , 20 , 0 , 0 ,Null, 5.709 , 5.41 , 20 
05-May-2016 09:28,201603,201503,Non UK Reporting Airports     ,ISLE OF MAN                   , 0 , 0 ,Null, 205.23 , 210.223 ,-2 , 205.23 , 210.223 ,-2 
05-May-2016 09:28,201603,201503,Other UK Airports             ,ISLES OF SCILLY (ST.MARYS)    , 2.426 , 2.654 ,-33 , 20.875 , 15.092 , 40 , 23.301 , 17.746 , 28 
05-May-2016 09:28,201603,201503,Non UK Reporting Airports     ,JERSEY                        , 84.613 , 0.99 , 8400 , 59.011 , 146.692 ,-60 , 143.624 , 147.682 ,-3 
05-May-2016 09:28,201603,201503,Other UK Airports             ,KIRKWALL                      , 2.391 , 2.093 , 0 , 0.022 , 0 ,Null, 2.413 , 2.093 , 0 
05-May-2016 09:28,201603,201503,Other UK Airports             ,LANDS END (ST JUST)           , 2.4 , 2.6 ,-33 , 20.8 , 14.8 , 40 , 23.2 , 17.4 , 35 
05-May-2016 09:28,201603,201503,London Area Airports          ,LONDON CITY                   , 146.527 , 108.697 , 35 , 0 , 0 ,Null, 146.527 , 108.697 , 35 
05-May-2016 09:28,201603,201503,Other UK Airports             ,MANCHESTER                    , 260.39 , 324.934 ,-20 , 0 , 0 ,Null, 260.39 , 324.934 ,-20 
05-May-2016 09:28,201603,201503,Other UK Airports             ,NEWCASTLE                     , 0 , 5.096 ,Null, 428.302 , 410.713 , 4 , 428.302 , 415.809 , 3 
05-May-2016 09:28,201603,201503,Other UK Airports             ,SOUTHAMPTON                   , 4.443 , 0 ,Null, 0 , 0 ,Null, 4.443 , 0 ,Null
05-May-2016 09:28,201603,201503,London Area Airports          ,STANSTED                      , 1.035 , 0 ,Null, 1756.668 , 1664.787 , 6 , 1757.703 , 1664.787 , 6 
05-May-2016 09:28,201603,201503,Other UK Airports             ,TIREE                         , 3.356 , 2.765 , 0 , 0.006 , 0 ,Null, 3.362 , 2.765 , 0 
