rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_fixed_wing_this_period,total_pax_fixed_wing_last_period,total_pax_fixed_wing_percent_change,total_pax_rotary_wing_this_period,total_pax_rotary_wing_last_period,total_pax_rotary_wing_percent_change,total_atms_fixed_wing_this_period,total_atms_fixed_wing_last_period,total_atms_fixed_wing_percent_change,total_atms_rotary_wing_this_period,total_atms_rotary_wing_last_period,total_atms_rotary_wing_percent_change
05-May-2016 09:32,201603,201503,London Area Airports          ,GATWICK                       , 3129350 , 2958178 , 5.786399 , 0 , 0 ,Null, 20491 , 19656 , 4.248067 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,London Area Airports          ,HEATHROW                      , 6102492 , 5951061 , 2.544605 , 0 , 0 ,Null, 39184 , 39520 ,-0.8502024 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,London Area Airports          ,LONDON CITY                   , 374989 , 378776 ,-0.9997994 , 0 , 0 ,Null, 6924 , 7301 ,-5.163676 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,London Area Airports          ,LUTON                         , 1045137 , 839319 , 24.52202 , 0 , 0 ,Null, 7620 , 6052 , 25.90879 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,London Area Airports          ,SOUTHEND                      , 69170 , 74571 ,-7.242762 , 0 , 0 ,Null, 651 , 741 ,-12.14575 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,London Area Airports          ,STANSTED                      , 1892233 , 1666162 , 13.56837 , 0 , 0 ,Null, 13166 , 11789 , 11.68038 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Non UK Reporting Airports     ,ALDERNEY                      , 4377 , 4256 , 2.843045 , 0 , 0 ,Null, 408 , 456 ,-10.52632 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Non UK Reporting Airports     ,GUERNSEY                      , 70707 , 70293 , 0.5889633 , 0 , 0 ,Null, 1993 , 1943 , 2.57334 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Non UK Reporting Airports     ,ISLE OF MAN                   , 67031 , 61908 , 8.275183 , 0 , 0 ,Null, 1666 , 1425 , 16.91228 , 0 , 0 ,Null
05-May-2016 09:32,201603,201503,Non UK Reporting Airports     ,JERSEY                        , 119041 , 112421 , 5.888579 , 0 , 0 ,Null, 2016 , 1926 , 4.672897 , 0 , 0 ,Null
